Priority,Phase,Group,Dataset,Specific file/layer,Source URL,Format,Use in PupWiki,Recommended local path,Notes,source_row,id,download_item_count,direct_item_count
P1,OSM source,Geofabrik,State-level OSM PBFs,California/Texas/Florida/New York etc.,https://download.geofabrik.de/north-america/us.html,.osm.pbf,Faster MVP/testing by state; useful for incremental batch processing.,data-raw/osm/geofabrik/states/,Start with top states before full US run.,16,xlsm-row-16-state-level-osm-pbfs,51,51
P1,Licensing,OpenStreetMap,OSM copyright/ODbL attribution page,Attribution and license reference,https://www.openstreetmap.org/copyright,Web page,Required attribution/disclaimer source for generated PupWiki Places data.,docs/sources/osm-license.md,Show OSM contributors credit on pages/maps.,17,xlsm-row-17-osm-copyright-odbl-attribution-page,1,1
P1/P2,Scoring,Census ACS 2024 5-Year,Detailed Tables,ACS 5-year detailed tables API,https://api.census.gov/data/2024/acs/acs5.html,API / JSON / CSV,Population/context scoring by place/county/metro; page priority and density metrics.,data-raw/census/2024/acs5/detailed/,Use a small variable subset at first.,18,xlsm-row-18-detailed-tables,2,2
P1/P2,Scoring,Census Population Estimates Program,State / county / city population estimates,https://www.census.gov/programs-surveys/popest.html,CSV / API / XLSX depending release,SEO priority ranking by population and market size.,data-raw/census/popest/,Use to pick first 5k–15k pages.,,19,xlsm-row-19-state-county-city-population-estimates,0,0
P2,Metro boundaries,US Census 2025 Cartographic,Combined Statistical Areas (CSAs),Combined metro regions,https://www.census.gov/geographies/mapping-files/2025/geo/carto-boundary-file.html,Shapefile / GeoPackage / KML,Large regional pages and internal linking across related metros.,data-raw/census/2025/cartographic/csa_500k/,Optional after CBSA.,20,xlsm-row-20-combined-statistical-areas-csas,1,1
P2,Metro boundaries,US Census 2025 Cartographic,Metropolitan Divisions,Subdivisions of large metro areas,https://www.census.gov/geographies/mapping-files/2025/geo/carto-boundary-file.html,Shapefile / GeoPackage / KML,Break down huge metros like New York or Los Angeles into more useful clusters.,data-raw/census/2025/cartographic/metropolitan_divisions_500k/,Useful for very large city regions.,21,xlsm-row-21-metropolitan-divisions,1,1
P2,Display boundaries,US Census 2025 Cartographic,United States Outline,US outline,https://www.census.gov/geographies/mapping-files/2025/geo/carto-boundary-file.html,Shapefile / KML,Lightweight national map visualizations and QA maps.,data-raw/census/2025/cartographic/us_outline_5m_or_20m/,"Use 5m/20m for display, not detailed joins.",22,xlsm-row-22-united-states-outline,2,2
P2,Special areas,US Census 2025 Cartographic,AIANNH Areas,American Indian / Alaska Native / Native Hawaiian areas,https://www.census.gov/geographies/mapping-files/2025/geo/carto-boundary-file.html,Shapefile / KML,Adds correct geo context in tribal/AIANNH areas; useful for completeness and careful regional metadata.,data-raw/census/2025/cartographic/aiannh_500k/,"Not needed for first city MVP, but collect with boundary pack.",23,xlsm-row-23-aiannh-areas,1,1
P2,Special areas,US Census 2025 Cartographic,Census Tracts,Tract boundaries,https://www.census.gov/geographies/mapping-files/2025/geo/carto-boundary-file.html,Shapefile / KML,Micro-geographic analysis and future density scoring; not required for city/category pages.,data-raw/census/2025/cartographic/tracts_500k/,Heavy; skip in first processing run if needed.,24,xlsm-row-24-census-tracts,1,1
P2,Urban context,US Census 2020/2025,Urban Areas,Urban area boundaries/gazetteer where available,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,TXT / boundary files depending year,Urban/rural scoring and better city priority ranking.,data-raw/census/2025/gazetteer/urban_areas.txt,Useful for SEO priority scoring.,25,xlsm-row-25-urban-areas,1,0
P2,ZIP search,US Census 2025/2020,ZCTAs,ZIP Code Tabulation Areas,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,TXT / Shapefile,"ZIP-like search, postcode fallback, near-me UX and local filtering.",data-raw/census/2025/gazetteer/zctas.txt,Collect gazetteer first; boundaries later if needed.,26,xlsm-row-26-zctas,1,0
P2,Gazetteer,US Census 2025 Gazetteer,ZCTAs Gazetteer,ZCTA identifiers and representative lat/lon,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Pipe-delimited TXT,ZIP-like search and redirect to nearest city/category page.,data-raw/census/2025/gazetteer/zctas.txt,Good search enhancement.,27,xlsm-row-27-zctas-gazetteer,1,1
P2,Gazetteer,US Census 2025 Gazetteer,School Districts Gazetteer,Elementary / secondary / unified / administrative school districts,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Pipe-delimited TXT,Optional family/dog-parent content context; not needed for first maps release.,data-raw/census/2025/gazetteer/school_districts/,Low direct POI value.,28,xlsm-row-28-school-districts-gazetteer,3,3
P2,Legal boundaries,US Census 2025 TIGER/Line,State Shapefiles,Legal state boundaries,https://www.census.gov/geo/maps-data/data/tiger-line.html,Shapefile,Validation/backstop when cartographic boundaries are too simplified.,data-raw/census/2025/tigerline/state/,Use only if 500k cartographic is not accurate enough.,29,xlsm-row-29-state-shapefiles,1,1
P2,Legal boundaries,US Census 2025 TIGER/Line,County Shapefiles,Legal county boundaries,https://www.census.gov/geo/maps-data/data/tiger-line.html,Shapefile,Higher precision county fallback and QA.,data-raw/census/2025/tigerline/county/,Optional for MVP.,30,xlsm-row-30-county-shapefiles,1,1
P2,Legal boundaries,US Census 2025 TIGER/Line,Place Shapefiles,Legal place boundaries,https://www.census.gov/geo/maps-data/data/tiger-line.html,Shapefile,Higher precision city/place spatial join where simplified cartographic boundaries fail.,data-raw/census/2025/tigerline/place/,"Optional, useful for QA.",31,xlsm-row-31-place-shapefiles,51,51
P2,Legal boundaries,US Census 2025 TIGER/Line,County Subdivision Shapefiles,COUSUB legal boundaries,https://www.census.gov/geo/maps-data/data/tiger-line.html,Shapefile,Township/town mapping and fallback in subdivision-heavy states.,data-raw/census/2025/tigerline/cousub/,Optional.,32,xlsm-row-32-county-subdivision-shapefiles,51,51
P2,Legal boundaries,US Census 2025 TIGER/Line,CBSA Shapefiles,Metro/micro legal/statistical boundaries,https://www.census.gov/geo/maps-data/data/tiger-line.html,Shapefile,Metro enrichment and metro page QA.,data-raw/census/2025/tigerline/cbsa/,Optional if using cartographic CBSA.,33,xlsm-row-33-cbsa-shapefiles,1,1
P2,ZIP boundaries,US Census 2025 TIGER/Line,ZCTA Shapefiles,ZCTA polygons,https://www.census.gov/geo/maps-data/data/tiger-line.html,Shapefile,Postcode polygon lookup and zip-to-city fallback.,data-raw/census/2025/tigerline/zcta/,Later if ZIP UX matters.,34,xlsm-row-34-zcta-shapefiles,1,1
P2,OSM source,Geofabrik,Polygon files,.poly region boundaries,https://download.geofabrik.de/north-america/us.html,.poly,"Clipping, regional ETL and QA of PBF subsets.",data-raw/osm/geofabrik/poly/,Useful for osmium tools.,35,xlsm-row-35-polygon-files,16,16
P2,OSM updates,Geofabrik,Change files,Incremental updates,https://download.geofabrik.de/north-america/us.html,.osc.gz,Later monthly/weekly incremental refresh instead of full rebuild.,data-raw/osm/geofabrik/updates/,Add after pipeline is stable.,36,xlsm-row-36-change-files,1,0
P2,Names/aliases,USGS GNIS,GNIS Domestic Names — All Names,Official/variant names for US features,https://www.usgs.gov/us-board-on-geographic-names/download-gnis-data,TXT / GPKG / GDB,"Aliases, rural/unincorporated places, parks/water feature names and search enrichment.",data-raw/usgs/gnis/domestic_names/,Great for search aliases.,37,xlsm-row-37-gnis-domestic-names-all-names,1,1
P2,Names/aliases,USGS GNIS,GNIS Populated Places,Populated place names and coordinates,https://www.usgs.gov/us-board-on-geographic-names/domestic-names,TXT / GPKG / GDB,Rural and unincorporated place fallback; improves search and nearby city logic.,data-raw/usgs/gnis/populated_places/,"Use as point-based gazetteer, not boundary source.",38,xlsm-row-38-gnis-populated-places,1,1
P2,Names/aliases,USGS GNIS,GNIS Feature Classes,"Parks, lakes, beaches, streams, locales",https://www.usgs.gov/us-board-on-geographic-names/download-gnis-data,TXT / GPKG / GDB,Outdoor/recreation enrichment and place-name aliases for dog parks/beaches/trails.,data-raw/usgs/gnis/feature_classes/,Use selectively.,39,xlsm-row-39-gnis-feature-classes,1,1
P2,Place identity,Who’s On First,US Admin Data,Country/region/county/locality/neighbourhood hierarchy,https://www.whosonfirst.org/download/,SQLite / Shapefile / GeoJSON bundle,"Stable place IDs, aliases, hierarchy and neighbourhood metadata.",data-raw/whosonfirst/admin-us/,"Good complement to Census, not replacement.",40,xlsm-row-40-us-admin-data,1,0
P2,Place identity,Who’s On First,whosonfirst-data-admin-us,Raw US admin GeoJSON repo,https://github.com/whosonfirst-data/whosonfirst-data-admin-us,GeoJSON repository / bundle,US localities/neighbourhoods and alternate naming/parent hierarchy.,data-raw/whosonfirst/admin-us-geojson/,Use if you prefer raw GeoJSON over SQLite.,41,xlsm-row-41-whosonfirst-data-admin-us,1,0
P2,Scoring,Census ACS 2024 5-Year,Data Profiles,ACS profile API,https://api.census.gov/data/2024/acs/acs5/profile,API / JSON / CSV,Simpler demographic/housing/economic context for SEO scoring.,data-raw/census/2024/acs5/profile/,Easier than detailed tables for first scoring pass.,42,xlsm-row-42-data-profiles,1,1
P2,Scoring,Census ACS 2024 5-Year,Subject Tables,ACS subject table API,https://api.census.gov/data/2024/acs/acs5/subject,API / JSON / CSV,Optional family/housing context for dog-parent content.,data-raw/census/2024/acs5/subject/,Later.,43,xlsm-row-43-subject-tables,1,1
P2,Business POI enrichment,AllThePlaces,Latest download,All spiders output,https://alltheplaces.xyz/,gzipped NDJSON; each line GeoJSON feature,"Chain/business enrichment for pet retail, pet stores, grooming, hotels, etc.",data-raw/alltheplaces/latest/output.ndjson.gz,Deduplicate against OSM.,44,xlsm-row-44-latest-download,1,1
P2,Business POI enrichment,AllThePlaces,Brand mappings / spider metadata,Spider/brand source metadata,https://alltheplaces.xyz/,NDJSON / metadata,"Brand detection, chain grouping and source-specific trust scoring.",data-raw/alltheplaces/latest/metadata/,Useful for Petco/PetSmart/Tractor Supply style enrichment.,45,xlsm-row-45-brand-mappings-spider-metadata,1,1
P3,Transport/context,US Census 2025 TIGER/Line,Roads,Road centerlines,https://www.census.gov/geo/maps-data/data/tiger-line.html,Shapefile,Optional proximity/routing context; OSM roads may be more useful.,data-raw/census/2025/tigerline/roads/,Not needed initially.,46,xlsm-row-46-roads,1,1
P3,Water/context,US Census 2025 TIGER/Line,Area Water / Linear Water,Water features,https://www.census.gov/geo/maps-data/data/tiger-line.html,Shapefile,Water-near-dog-parks enrichment and QA context.,data-raw/census/2025/tigerline/water/,Optional; USGS hydrography is richer.,47,xlsm-row-47-area-water-linear-water,1,1
P3,Place identity,Who’s On First,US venue repositories,Venue data split by state,https://github.com/whosonfirst-data,GeoJSON repositories,Optional legacy venue enrichment; usually prefer OSM/AllThePlaces for POIs.,data-raw/whosonfirst/venues-us/,Large; not MVP.,48,xlsm-row-48-us-venue-repositories,1,0
P3,Address enrichment,OpenAddresses,US address sources,Open address datasets,https://openaddresses.io/,CSV / source-specific archives,"Address validation, postcode cleanup, deduping and future geocoding quality.",data-raw/openaddresses/us/,Later; can be very large.,49,xlsm-row-49-us-address-sources,1,0
P3,Parks/travel,NPS Data API,Parks,Official NPS park metadata,https://www.nps.gov/subjects/digital/nps-data-api.htm,API JSON,National parks travel/recreation pages and official park context.,data-raw/nps/parks.json,Dog policy must be verified separately.,50,xlsm-row-50-parks,1,1
P3,Camping/travel,NPS Data API,Campgrounds,"Campground locations, amenities, fees and accessibility",https://www.nps.gov/subjects/digital/nps-data-api.htm,API JSON,Campground enrichment for dog-friendly travel pages.,data-raw/nps/campgrounds.json,Do not assume dog-friendly unless explicitly sourced.,51,xlsm-row-51-campgrounds,1,1
P3,Parks/travel,NPS Data API,Alerts / operating hours / fees / amenities,Operational metadata,https://www.nps.gov/subjects/digital/nps-data-api.htm,API JSON,Travel-page enrichment and safety updates if integrated later.,data-raw/nps/operations/,Not required for map MVP.,52,xlsm-row-52-alerts-operating-hours-fees-amenities,1,0
P3,Camping/recreation,Recreation.gov / RIDB,Recreation Areas,Federal recreation area metadata,https://www.recreation.gov/use-our-data,API JSON,Federal recreation areas/campgrounds/facilities enrichment.,data-raw/recreationgov/ridb/recreation_areas/,Credit Recreation.gov where used.,53,xlsm-row-53-recreation-areas,1,0
P3,Camping/recreation,Recreation.gov / RIDB,Facilities / Campgrounds / Campsites,Facility and campsite metadata,https://agdatacommons.nal.usda.gov/articles/dataset/Recreation_Information_Database_RIDB_/24661806,API JSON,Campground/facility enrichment for dog travel pages.,data-raw/recreationgov/ridb/facilities/,Data may be incomplete; verify dog rules.,54,xlsm-row-54-facilities-campgrounds-campsites,1,0
P3,Protected lands,USGS PAD-US,PAD-US national geodatabase,Protected Areas Database national download,https://www.usgs.gov/programs/gap-analysis-project/science/pad-us-data-download,ArcGIS Geodatabase,"Public/protected lands, park ownership/management and outdoor context.",data-raw/usgs/pad-us/national/,Useful for outdoor/trail/beach enrichment.,55,xlsm-row-55-pad-us-national-geodatabase,1,0
P3,Protected lands,USGS PAD-US,PAD-US state/territory downloads,State/territory protected area files,https://www.usgs.gov/programs/gap-analysis-project/science/pad-us-data-download,ArcGIS Geodatabase,State-level processing and smaller protected land jobs.,data-raw/usgs/pad-us/states/,Use for state MVPs.,56,xlsm-row-56-pad-us-state-territory-downloads,1,0
P3,Hydrography,USGS Hydrography,National Hydrography Dataset / 3DHP,Surface water features,https://www.usgs.gov/index.php/national-hydrography/national-hydrography-dataset,File geodatabase / shapefile,"Water near dog parks, dog beaches, lake/stream enrichment.",data-raw/usgs/hydrography/,NHD is retired but still available; USGS points to 3DHP for current data.,57,xlsm-row-57-national-hydrography-dataset-3dhp,1,0
P3,Base maps,Natural Earth,Admin layers,Countries/states/admin boundaries,https://www.naturalearthdata.com/,Shapefile / GeoJSON,Lightweight editorial/base maps and QA visualizations.,data-raw/naturalearth/admin/,Public domain; not precise enough for city joins.,58,xlsm-row-58-admin-layers,2,2
P3,Base maps,Natural Earth,Physical layers,"Land, ocean, rivers, lakes, coastline",https://www.naturalearthdata.com/,Shapefile / GeoJSON,Lightweight display layers for maps and editorial visuals.,data-raw/naturalearth/physical/,"Use for display, not ETL truth.",59,xlsm-row-59-physical-layers,4,4
P3/P4,Animal care compliance,USDA APHIS,Animal Care Public Search Tool,AWA regulated entities/search,https://www.aphis.usda.gov/animal-care/awa-services/usda-animal-care-public-search-tool,Search tool / reports,Careful breeder/dealer/license education pages; not core OSM map data.,data-raw/usda/aphis/,Avoid legal/compliance claims unless verified.,60,xlsm-row-60-animal-care-public-search-tool,1,0
P3/P4,Animal care compliance,USDA APHIS,AWA Inspection / Annual Reports,Animal Welfare Act report data,https://direct.aphis.usda.gov/awa/annual-inspection-reports,Search/report data,Only for breeder/license education; not a general dog-service source.,data-raw/usda/aphis/awa-reports/,High trust-risk; handle carefully.,61,xlsm-row-61-awa-inspection-annual-reports,1,0
P4,Buildings,Microsoft,US Building Footprints,US building footprints by state,https://github.com/microsoft/USBuildingFootprints,GeoJSON by state,Advanced urban context/building density; not needed for first PupWiki Places release.,data-raw/microsoft/us-building-footprints/,Huge; only if clear use case.,62,xlsm-row-62-us-building-footprints,1,0
P4,Buildings,Microsoft,Global ML Building Footprints,Global/updated building footprints,https://github.com/microsoft/GlobalMLBuildingFootprints,CSV/GeoJSON links,Advanced global/updated footprint enrichment; only later.,data-raw/microsoft/global-ml-building-footprints/,Very large.,63,xlsm-row-63-global-ml-building-footprints,1,0
P4,Environmental context,EPA EJScreen,EJScreen raw data,Environmental justice screening data,https://www.epa.gov/ejscreen,Geodatabase / CSV / services,Advanced environmental context; likely not needed for PupWiki geo MVP.,data-raw/epa/ejscreen/,Use current EPA pages/services; older snapshots may appear in search.,64,xlsm-row-64-ejscreen-raw-data,1,0
P4,Micro geographies,Census ACS/TIGER,Tracts / Block Groups,Small-area boundaries and ACS data,https://api.census.gov/data/2024/acs/acs5.html,Shapefile / API,Advanced local density analytics and future premium insights.,data-raw/census/tracts_blockgroups/,Too granular for first pSEO launch.,65,xlsm-row-65-tracts-block-groups,1,0
P4,Local data,City/state open data portals,Local dog parks / animal services / park rules,Varies by city/state portal,ArcGIS REST / GeoJSON / CSV,Manual enrichment for top cities and official dog park rules.,data-raw/local-open-data/,Use selectively for high-value cities.,,66,xlsm-row-66-local-dog-parks-animal-services-park-rules,0,0
P4,Local data,ArcGIS Hub public datasets,City/county/state GIS layers,https://hub.arcgis.com/,ArcGIS REST / GeoJSON / CSV,Official local POI enrichment where OSM is weak.,data-raw/arcgis-hub/,Not scalable as first source; great for top-city refinement.,,67,xlsm-row-67-city-county-state-gis-layers,0,0
